Categoria,Subcategoria,Tarea,Unidad_ref,Rendimiento_base,Horas_por_unidad,Cuadrilla_base,Supuestos,Factores_ajuste,Materiales_basicos_por_unidad,Notas,Fuentes
Soldadura (Naval/Estructural),Filete a=8 mm,Soldar cordón filete 8 mm en posición sobre-cabeza (GTAW (TIG)),h/m de cordón,0.6862,1.457,1 soldador,a=8 mm; acero al carbono; densidad 7.85 t/m³; factor de arco=30%; proceso=GTAW (TIG); posición=sobre-cabeza,+20-40% en espacios confinados naval / intemperie; -10-20% con fijación/posicionamiento óptimos; inspección NDT añade tiempo,Hilo/electrodo según proceso; gas (GMAW/TIG); EPP; limpieza entre pasadas,Cálculo por masa y tasa de deposición efectiva; revisar WPS real del astillero,TWI; Lincoln Electric; Miller Welds (deposición y factores)
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición plana (GMAW (MIG)),h/m de cordón,3.7625,0.266,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición horizontal (GMAW (MIG)),h/m de cordón,3.3863,0.295,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición vertical (GMAW (MIG)),h/m de cordón,2.8219,0.354,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición sobre-cabeza (GMAW (MIG)),h/m de cordón,2.4457,0.409,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición plana (FCAW),h/m de cordón,5.7256,0.175,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición horizontal (FCAW),h/m de cordón,5.153,0.194,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición vertical (FCAW),h/m de cordón,4.2942,0.233,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición sobre-cabeza (FCAW),h/m de cordón,3.7216,0.269,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición plana (SMAW (Electrodo)),h/m de cordón,1.6359,0.611,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición horizontal (SMAW (Electrodo)),h/m de cordón,1.4723,0.679,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición vertical (SMAW (Electrodo)),h/m de cordón,1.2269,0.815,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición sobre-cabeza (SMAW (Electrodo)),h/m de cordón,1.0633,0.94,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición plana (GTAW (TIG)),h/m de cordón,1.0224,0.978,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición horizontal (GTAW (TIG)),h/m de cordón,0.9202,1.087,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición vertical (GTAW (TIG)),h/m de cordón,0.7668,1.304,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición sobre-cabeza (GTAW (TIG)),h/m de cordón,0.6646,1.505,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=8 mm,Soldar unión a tope 8 mm en posición plana (SAW (Arco Sumergido)),h/m de cordón,10.6333,0.094,1 soldador,t=8 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición plana (GMAW (MIG)),h/m de cordón,2.7148,0.368,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición horizontal (GMAW (MIG)),h/m de cordón,2.4433,0.409,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición vertical (GMAW (MIG)),h/m de cordón,2.0361,0.491,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición sobre-cabeza (GMAW (MIG)),h/m de cordón,1.7646,0.567,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición plana (FCAW),h/m de cordón,4.1312,0.242,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición horizontal (FCAW),h/m de cordón,3.7181,0.269,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición vertical (FCAW),h/m de cordón,3.0984,0.323,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición sobre-cabeza (FCAW),h/m de cordón,2.6853,0.372,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición plana (SMAW (Electrodo)),h/m de cordón,1.1804,0.847,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición horizontal (SMAW (Electrodo)),h/m de cordón,1.0623,0.941,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición vertical (SMAW (Electrodo)),h/m de cordón,0.8853,1.13,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición sobre-cabeza (SMAW (Electrodo)),h/m de cordón,0.7672,1.303,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición plana (GTAW (TIG)),h/m de cordón,0.7377,1.356,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición horizontal (GTAW (TIG)),h/m de cordón,0.664,1.506,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición vertical (GTAW (TIG)),h/m de cordón,0.5533,1.807,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición sobre-cabeza (GTAW (TIG)),h/m de cordón,0.4795,2.085,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=10 mm,Soldar unión a tope 10 mm en posición plana (SAW (Arco Sumergido)),h/m de cordón,7.6723,0.13,1 soldador,t=10 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición plana (GMAW (MIG)),h/m de cordón,2.0603,0.485,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición horizontal (GMAW (MIG)),h/m de cordón,1.8543,0.539,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición vertical (GMAW (MIG)),h/m de cordón,1.5452,0.647,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición sobre-cabeza (GMAW (MIG)),h/m de cordón,1.3392,0.747,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición plana (FCAW),h/m de cordón,3.1352,0.319,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición horizontal (FCAW),h/m de cordón,2.8217,0.354,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición vertical (FCAW),h/m de cordón,2.3514,0.425,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición sobre-cabeza (FCAW),h/m de cordón,2.0379,0.491,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición plana (SMAW (Electrodo)),h/m de cordón,0.8958,1.116,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición horizontal (SMAW (Electrodo)),h/m de cordón,0.8062,1.24,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición vertical (SMAW (Electrodo)),h/m de cordón,0.6718,1.488,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición sobre-cabeza (SMAW (Electrodo)),h/m de cordón,0.5823,1.717,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición plana (GTAW (TIG)),h/m de cordón,0.5599,1.786,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición horizontal (GTAW (TIG)),h/m de cordón,0.5039,1.985,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición vertical (GTAW (TIG)),h/m de cordón,0.4199,2.382,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición sobre-cabeza (GTAW (TIG)),h/m de cordón,0.3639,2.748,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
Soldadura (Naval/Estructural),Chapa a tope t=12 mm,Soldar unión a tope 12 mm en posición plana (SAW (Arco Sumergido)),h/m de cordón,5.8225,0.172,1 soldador,t=12 mm; bisel 60°; raíz 3 mm; refuerzo +10%; factor arco 30%,Aleación (INOX/AL) ±15-25%; accesibilidad; pases múltiples; pre/post-calentamiento,Consumible y gas; tratamiento de raíz según WPS; control de deformaciones,Estimación para cálculo; ajuste por WPS y clasificación (DNV/ABS/IACS),TWI; Lincoln Electric; The Fabricator
HVAC / Clima,Split doméstico 1x1,Instalación completa split 1x1 (hasta 3 m línea frigorífica),h/instalación (cuadrilla),0.2,5.0,2 técnicos HVAC,Agujero Ø60-80 mm; 1 pasada de pared; 3 m cobre 1/4-3/8; vacío y prueba; canaleta básica,"+0,3 h/m por línea extra; +0,5–1,0 h por taladro hormigón armado; +0,5 h por grúa/acceso complejo","Par de tubos cobre aislados, desagüe, cableado, canaleta, soportes, taco/químico",Tiempos habituales de campo para viviendas; multi marca,Cronoshare (proceso y precios orientativos); práctica sector
HVAC / Clima,"Multi-split (2x1, 3x1)",Tiempo adicional por unidad interior adicional,h/unidad interior extra,0.5,2.0,2 técnicos HVAC,Derivaciones y conexionado; mismo par hilado; 3 m de línea,"Suma 0,3 h/m por exceso de línea; +0,5 h si techos altos o andamio","Kit flare, cobre, aislamiento, desagüe, cable",Sobre la base de un 1x1 ya colocado,Experiencia sector; Cronoshare (rangos instalación)
HVAC / Clima,Puesta en marcha,Vacío con bomba + prueba de estanqueidad,h/sistema,1.3333333333333333,0.75,1 técnico HVAC,"Circuito doméstico < 5 m y < 3,5 kW","+0,25 h por cada 5 m extra de línea","Bomba vacío, manómetros, nitrógeno",Incluye 10-20 min estabilización vacío,Práctica sector; manuales HVAC
